date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-09,California,State,Omicron,1.0,0.19,1.0,0.189856251695
2021-01-10,California,State,Epsilon,90.0,56.25,280.85714285714,54.916201117318
2021-01-10,California,State,Other,69.0,43.12,221.42857142857,43.296089385475
2021-01-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Alpha,0.0,0.0,6.71428571428,1.312849162011
2021-01-10,California,State,Total,160.0,100.0,511.42857142857,100.0
2021-01-10,California,State,Omicron,1.0,0.62,0.85714285714,0.167597765363
2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-10,California,State,Delta,0.0,0.0,1.57142857142,0.307262569832
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-11,California,State,Omicron,2.0,0.35,1.14285714285,0.2772002772
2021-01-11,California,State,Total,566.0,100.0,412.28571428571,100.0
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.03465003465
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Alpha,8.0,1.41,7.14285714285,1.732501732502
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Other,279.0,49.29,181.57142857142,44.040194040194
2021-01-11,California,State,Delta,2.0,0.35,1.14285714285,0.2772002772
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.03465003465
2021-01-11,California,State,Epsilon,273.0,48.23,221.0,53.603603603604
2021-01-12,California,State,Alpha,9.0,1.62,6.14285714285,1.634359559103
2021-01-12,California,State,Total,556.0,100.0,375.85714285714,100.0
2021-01-12,California,State,Epsilon,304.0,54.68,201.71428571428,53.667806917522
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.342075256556
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.03800836184
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.03800836184
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Other,241.0,43.35,165.14285714285,43.937666286583
2021-01-12,California,State,Omicron,0.0,0.0,1.14285714285,0.304066894717
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.03800836184
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035211267606
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035211267606
2021-01-13,California,State,Omicron,2.0,0.35,1.14285714285,0.281690140845
2021-01-13,California,State,Delta,1.0,0.17,1.0,0.246478873239
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.035211267606
2021-01-13,California,State,Total,579.0,100.0,405.71428571428,100.0
2021-01-13,California,State,Epsilon,339.0,58.55,220.57142857142,54.366197183099
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Alpha,9.0,1.55,7.0,1.725352112676
2021-01-13,California,State,Other,228.0,39.38,175.57142857142,43.274647887324
2021-01-14,California,State,Omicron,0.0,0.0,0.85714285714,0.186567164179
2021-01-14,California,State,Epsilon,425.0,63.06,259.28571428571,56.436567164179
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031094527363
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031094527363
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031094527363
2021-01-14,California,State,Other,235.0,34.87,191.0,41.573383084577
2021-01-14,California,State,Total,674.0,100.0,459.42857142857,100.0
2021-01-14,California,State,Alpha,14.0,2.08,6.85714285714,1.492537313433
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.217661691542
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.027495188342
2021-01-15,California,State,Omicron,0.0,0.0,0.85714285714,0.164971130052
2021-01-15,California,State,Total,568.0,100.0,519.57142857142,100.0
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Other,238.0,41.9,215.71428571428,41.517734396481
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.027495188342
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.027495188342
2021-01-15,California,State,Epsilon,320.0,56.34,293.85714285714,56.557602419577
2021-01-15,California,State,Delta,2.0,0.35,1.0,0.192466318394
2021-01-15,California,State,Alpha,8.0,1.41,7.71428571428,1.48474017047
2021-01-16,California,State,Total,734.0,100.0,548.14285714285,100.0
2021-01-16,California,State,Alpha,17.0,2.32,9.28571428571,1.694031795674
2021-01-16,California,State,Other,329.0,44.82,231.28571428571,42.194422726088
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026062027626
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026062027626
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026062027626
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.156372165754
2021-01-16,California,State,Omicron,0.0,0.0,0.71428571428,0.130310138129
2021-01-16,California,State,Epsilon,388.0,52.86,305.57142857142,55.746677091478
2021-01-17,California,State,Other,128.0,40.76,239.71428571428,42.044600350789
2021-01-17,California,State,Omicron,0.0,0.0,0.57142857142,0.100225507392
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.150338261087
2021-01-17,California,State,Total,314.0,100.0,570.14285714285,100.0
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.050112753696
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025056376848
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025056376848
2021-01-17,California,State,Epsilon,182.0,57.96,318.71428571428,55.900776747682
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.703833625658
2021-01-18,California,State,Other,303.0,40.56,243.14285714285,40.795781399808
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.047938638543
2021-01-18,California,State,Delta,1.0,0.13,0.71428571428,0.119846596357
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Alpha,13.0,1.74,10.42857142857,1.749760306807
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.047938638543
2021-01-18,California,State,Epsilon,430.0,57.56,341.14285714285,57.238734419942
2021-01-18,California,State,Total,747.0,100.0,596.0,100.0
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Epsilon,675.0,55.69,394.14285714285,57.145816072908
2021-01-19,California,State,Delta,1.0,0.08,0.71428571428,0.103562551781
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.020712510356
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Alpha,19.0,1.57,11.85714285714,1.719138359569
2021-01-19,California,State,Total,1212.0,100.0,689.71428571428,100.0
2021-01-19,California,State,Omicron,1.0,0.08,0.42857142857,0.062137531069
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Other,516.0,42.57,282.42857142857,40.948632974316
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-20,California,State,Other,78.0,31.08,261.0,40.6
2021-01-20,California,State,Alpha,15.0,5.98,12.71428571428,1.977777777778
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Delta,0.0,0.0,0.57142857142,0.088888888889
2021-01-20,California,State,Gamma,1.0,0.4,0.28571428571,0.044444444444
2021-01-20,California,State,Epsilon,157.0,62.55,368.14285714285,57.266666666667
2021-01-20,California,State,Omicron,0.0,0.0,0.14285714285,0.022222222222
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Total,251.0,100.0,642.85714285714,100.0
2021-01-21,California,State,Total,88.0,100.0,559.14285714285,100.0
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Omicron,0.0,0.0,0.14285714285,0.025549310169
2021-01-21,California,State,Other,17.0,19.32,229.85714285714,41.108840061318
2021-01-21,California,State,Epsilon,43.0,48.86,313.57142857142,56.080735820133
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-21,California,State,Delta,1.0,1.14,0.71428571428,0.127746550843
2021-01-21,California,State,Alpha,27.0,30.68,14.57142857142,2.6060296372
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.051098620337
2021-01-22,California,State,Total,48.0,100.0,484.85714285714,100.0
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Delta,1.0,2.08,0.57142857142,0.117855038303
2021-01-22,California,State,Alpha,7.0,14.58,14.42857142857,2.975839717148
2021-01-22,California,State,Other,12.0,25.0,197.57142857142,40.748379493223
2021-01-22,California,State,Epsilon,28.0,58.33,271.85714285714,56.069534472599
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.058927519151
2021-01-22,California,State,Omicron,0.0,0.0,0.14285714285,0.029463759576
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Delta,0.0,0.0,0.57142857142,0.148920327625
2021-01-23,California,State,Omicron,0.0,0.0,0.14285714285,0.037230081906
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Epsilon,11.0,42.31,218.0,56.813104988831
2021-01-23,California,State,Alpha,11.0,42.31,13.57142857142,3.536857781087
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.074460163812
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Total,26.0,100.0,383.71428571428,100.0
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Other,4.0,15.38,151.14285714285,39.389426656739
2021-01-24,California,State,Total,46.0,100.0,345.42857142857,100.0
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Epsilon,35.0,76.09,197.0,57.030603804797
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Omicron,0.0,0.0,0.14285714285,0.041356492969
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.041356492969
2021-01-24,California,State,Alpha,7.0,15.22,14.14285714285,4.09429280397
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Other,4.0,8.7,133.42857142857,38.626964433416
2021-01-24,California,State,Delta,0.0,0.0,0.57142857142,0.165425971878
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Omicron,0.0,0.0,0.14285714285,0.05698005698
2021-01-25,California,State,Total,84.0,100.0,250.71428571428,100.0
2021-01-25,California,State,Alpha,4.0,4.76,12.85714285714,5.128205128205
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Other,32.0,38.1,94.71428571428,37.777777777778
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.05698005698
2021-01-25,California,State,Delta,0.0,0.0,0.42857142857,0.17094017094
2021-01-25,California,State,Epsilon,48.0,57.14,142.42857142857,56.809116809117
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Other,217.0,37.8,52.0,32.587287376902
2021-01-26,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Alpha,9.0,1.57,11.42857142857,7.162041181737
2021-01-26,California,State,Epsilon,347.0,60.45,95.57142857142,59.892569382274
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-26,California,State,Total,574.0,100.0,159.57142857142,100.0
2021-01-26,California,State,Delta,1.0,0.17,0.42857142857,0.268576544315
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.089525514772
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Total,702.0,100.0,224.0,100.0
2021-01-27,California,State,Alpha,12.0,1.71,11.0,4.910714285714
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,459.0,65.38,138.71428571428,61.926020408163
2021-01-27,California,State,Delta,1.0,0.14,0.57142857142,0.255102040816
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Other,230.0,32.76,73.71428571428,32.908163265306
2021-01-28,California,State,Alpha,26.0,3.0,10.85714285714,3.236797274276
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Other,305.0,35.14,114.85714285714,34.241908006814
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.085178875639
2021-01-28,California,State,Delta,1.0,0.12,0.57142857142,0.170357751278
2021-01-28,California,State,Total,868.0,100.0,335.42857142857,100.0
2021-01-28,California,State,Epsilon,531.0,61.18,208.42857142857,62.137989778535
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.127768313458
2021-01-29,California,State,Other,53.0,25.12,120.71428571428,33.651931501394
2021-01-29,California,State,Gamma,2.0,0.95,0.71428571428,0.199123855038
2021-01-29,California,State,Total,211.0,100.0,358.71428571428,100.0
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.079649542015
2021-01-29,California,State,Delta,1.0,0.47,0.57142857142,0.15929908403
2021-01-29,California,State,Alpha,10.0,4.74,11.28571428571,3.146156909598
2021-01-29,California,State,Epsilon,145.0,68.72,225.14285714285,62.763839107925
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Alpha,2.0,1.85,10.0,2.699575780949
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.077130736599
2021-01-30,California,State,Epsilon,79.0,73.15,234.85714285714,63.401465483995
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.192826841496
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Delta,0.0,0.0,0.57142857142,0.154261473197
2021-01-30,California,State,Other,27.0,25.0,124.0,33.474739683764
2021-01-30,California,State,Total,108.0,100.0,370.42857142857,100.0
2021-01-31,California,State,Epsilon,154.0,64.71,251.85714285714,63.303411131059
2021-01-31,California,State,Other,82.0,34.45,135.14285714285,33.967684021544
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.071813285458
2021-01-31,California,State,Delta,0.0,0.0,0.57142857142,0.143626570916
2021-01-31,California,State,Total,238.0,100.0,397.85714285714,100.0
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.179533213645
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Alpha,2.0,0.84,9.28571428571,2.333931777379
2021-01-31,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-01,California,State,Total,786.0,100.0,498.14285714285,100.0
2021-02-01,California,State,Delta,0.0,0.0,0.57142857142,0.114711786636
2021-02-01,California,State,Other,222.0,28.24,162.28571428571,32.578147404646
2021-02-01,California,State,Alpha,10.0,1.27,10.14285714285,2.03613421279
2021-02-01,California,State,Epsilon,554.0,70.48,324.14285714285,65.070260969315
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057355893318
2021-02-01,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.143389733295
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.118595825427
2021-02-02,California,State,Alpha,33.0,2.53,13.57142857142,2.253320683112
2021-02-02,California,State,Epsilon,974.0,74.75,413.71428571428,68.690702087287
2021-02-02,California,State,Delta,0.0,0.0,0.42857142857,0.071157495256
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047438330171
2021-02-02,California,State,Other,296.0,22.72,173.57142857142,28.818785578748
2021-02-02,California,State,Total,1303.0,100.0,602.28571428571,100.0
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Other,249.0,22.91,176.28571428571,26.820256465986
2021-02-03,California,State,Epsilon,808.0,74.33,463.57142857142,70.528146055205
2021-02-03,California,State,Total,1087.0,100.0,657.28571428571,100.0
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.065203216692
2021-02-03,California,State,Delta,0.0,0.0,0.28571428571,0.043468811128
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.10867202782
2021-02-03,California,State,Alpha,29.0,2.67,16.0,2.434253423169
2021-02-04,California,State,Epsilon,406.0,76.89,445.71428571428,73.222248298521
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023468669326
2021-02-04,California,State,Alpha,15.0,2.84,14.42857142857,2.370335601971
2021-02-04,California,State,Total,528.0,100.0,608.71428571428,100.0
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.046937338653
2021-02-04,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-04,California,State,Other,107.0,20.27,148.0,24.313541422201
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023468669326
2021-02-05,California,State,Other,75.0,26.32,151.14285714285,24.405997693195
2021-02-05,California,State,Epsilon,187.0,65.61,451.71428571428,72.941176470588
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Total,285.0,100.0,619.28571428571,100.0
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.02306805075
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Alpha,23.0,8.07,16.28571428571,2.629757785467
2021-02-05,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Alpha,15.0,3.9,18.14285714285,2.753686036427
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Total,385.0,100.0,658.85714285714,100.0
2021-02-06,California,State,Other,99.0,25.71,161.42857142857,24.501300954033
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Epsilon,271.0,70.39,479.14285714285,72.723330442324
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.021682567216
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Total,218.0,100.0,656.0,100.0
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Delta,1.0,0.46,0.14285714285,0.021777003484
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.021777003484
2021-02-07,California,State,Epsilon,170.0,77.98,481.42857142857,73.38850174216
2021-02-07,California,State,Other,43.0,19.72,155.85714285714,23.758710801394
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Alpha,4.0,1.83,18.42857142857,2.809233449477
2021-02-08,California,State,Total,496.0,100.0,614.57142857142,100.0
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Other,110.0,22.18,139.85714285714,22.756857275686
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.023245002325
2021-02-08,California,State,Epsilon,368.0,74.19,454.85714285714,74.012087401209
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023245002325
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Alpha,18.0,3.63,19.57142857142,3.184565318457
2021-02-09,California,State,Epsilon,472.0,73.41,383.14285714285,73.640856672158
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Other,149.0,23.17,118.85714285714,22.84459088413
2021-02-09,California,State,Total,643.0,100.0,520.28571428571,100.0
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.027457440967
2021-02-09,California,State,Alpha,22.0,3.42,18.0,3.459637561779
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.027457440967
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-10,California,State,Other,160.0,29.36,106.14285714285,23.967741935484
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-10,California,State,Epsilon,364.0,66.79,319.71428571428,72.193548387097
2021-02-10,California,State,Total,545.0,100.0,442.85714285714,100.0
2021-02-10,California,State,Alpha,21.0,3.85,16.85714285714,3.806451612903
2021-02-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-10,California,State,Delta,0.0,0.0,0.14285714285,0.032258064516
2021-02-11,California,State,Alpha,28.0,5.46,18.71428571428,4.246353322528
2021-02-11,California,State,Other,124.0,24.17,108.57142857142,24.635332252836
